"title","genre","year","release_date","colour","duration","classification","rating","producer","director","writer","actress","synopsis"
"Naga Sakti","Action",1986,NA,"Colour",86,NA,NA,"Washi Dipa","M Sharieffudin A","M Sharieffudin A","Wieke Widowati, Ricky Hosada, Alicia Djohar, Mayang Rianty, Hendri AH","Kisah balas dendam yang berawal dari iri hati. Pimpinan perguruan silat Batu Putih menunjuk salah satu murid jadi penggantinya. Murid lain tak terima, lalu mencuri keris pusaka dan membunuh sang guru, hingga yang didakwa adalah murid yang ditunjuk sebagai pengganti tadi, yang akhirnya juga terbunuh. Adiknya yang kemudian membalas dendam kematian kakak-kakaknya setelah ia menyingkir terlebih dulu."
"Suka Sama Suka","Comedy",1986,NA,"Colour",98,NA,10,"Gope T Samtani, Subagio Samtani","Dasri Yacob","Pitrajaya Burnama","Ikang Fawzi, Richie Ricardo, Darto Helm, Lina Budiarti, Yenny Farida, Angel D Memah, Rani Soraya","Dua sahabat Jack (Ikang Fawzi) dan Jock (Richie Ricardo) yang berprinsip ""hidup itu tantangan dan permainan"", pergi menginap di sebuah hotel. Di sinilah berbagai banyolan dan pameran tubuh perempuan (di kolam renang dan arena senam) disuguhkan. Mula-mula ""tantangan"" yang dijalani adalah mengaku tukang cukur dan mencukur Alex (Darto Helm), yang juga menginap di hotel sama. Maka soal rambut Alex alias Darto Helm yang dikenal botak dieksploitasi."
"Pertarungan untuk Hidup (Tergoda Bibir Kenikmatan)","Action",1986,NA,"Colour",NA,NA,NA,"Rudy Lukito","Imam Putra Piliang","Imam Putra Piliang","Kusno Sudjarwadi, WD Mochtar, Leo Chandra, Wieke Widowati, Yulie Soleh","Lingga (Kusno Sudjarwadi) dan Wisnu (WD Mochtar) bersahabat sejak kecil, dan dalam berusaha Wisnu adalah wakil Lingga. Suatu hari mobil yang ditumpangi Lingga meledak. Lingga dan sopirnya tewas. Anak sulungnya, Tunggal (Leo Chandra), yang sekolah di Yogya dipanggil pulang. Dalam perjalanan pulang ia diserang empat pemuda berkendaraan jip. Empat pemuda tadi bisa dikalahkan. Selanjutnya Tunggal makin merasa terancam, dan perusahaan ayahnya jatuh ke tangan Wisnu. Maka ia mendatangi Wisnu yang menyandera ibu dan adiknya. Setelah pertarungan sengit, Tunggal kembali berkumpul dengan ibu dan adiknya."
"Kodrat","Drama",1986,NA,"Colour",91,NA,NA,"Arifin Yacob","Slamet Rahardjo","Slamet Rahardjo","Bambang Sulistomo, Darussalam, Anna Tairas, Piet Pagau, Slamet Rahardjo","Sebuah drama dengan latar belakang kriminalitas. Kodrat (Slamet Rahardjo) merasa kehilangan sekali setelah sahabatnya, Solikhin (Piet Pagau) mati tertembak polisi. Mereka sama-sama berasal dari kaum miskin dan besar di asrama yatim piatu, hingga uang hasil jerih payah kejahatan mereka selalu disumbangkan pada asrama mereka."
"Arini (Masih Ada Kereta yang Akan Lewat)","Drama",1987,NA,"Colour",103,NA,8,"Bambang Widitomo, Hatoek Soebroto","Sophan Sophiaan","Eddy Suhendro, Mira W","Widyawati, Joice Erna, Sophan Sophiaan, Rano Karno, Rima Melati, Vivi Samodro","Kisah melodrama yang agak berbelit. Arini (Widyawati) ""diperosokkan"" oleh sahabatnya sendiri, Ira (Joice Erna), agar mengawini pacarnya, Helmi (Sophan Sophiaan). Setelah tahu akal bulus ini, Arini minta cerai dan meninggalkan anaknya, yang kemudian ternyata mengalami gagal ginjal. Ia bersekolah ke AS."
"Lupus (Tangkaplah Daku Kau Kujitak)","Young adult",1987,NA,"Colour",87,NA,4,"Sudwikatmono, R Suharso, Hatoek Soebroto","Achiel Nasrun","Tim Elang Perkasa Film, Hilman Hariwijaya","Ryan Hidayat, Nurul Arifin, Agyl Shahriar, Septian Dwicahyo, Andreas Pancarian","Lupus (Ryan Hidayat) adalah pelajar SMA Merah-Putih yang aktif menulis sebagai wartawan sebuah majalah, senang mengunyah permen karet, cuek, dan sangat jahil. Ia mengganggu siapapun, temannya, ibunya, adiknya, kepala sekolah, orang yang baru dikenalnya. Kejahilannya ini lebih bernada humor daripada menyakiti dan berniat jahat. Ada maksud baik sesekali dalam candanya itu."
"Lupus II (Mahluk Manis dalam Bis)",NA,1987,NA,"Colour",107,NA,4,"Hatoek Soebroto","Achiel Nasrun","Eddy Suhendro, Hilman Hariwijaya","Ryan Hidayat, Agyl Shahriar, Karina Suwandhi, Septian Dwicahyo, Andreas Pancarian","Dibanding film Lupus (Tangkaplah Daku Kau Kujitak), rombongan Lupus lebih banyak terlukis. Tapi, sama seperti film yang terdahulu itu, film ini tetap merupakan gabungan kelucuan yang berasal dari kejahilan Lupus dkk: Lupus dan orang tua pacarnya, ada ""mahluk manis dalam bis"" yang tidak jelas juntrungannya, ikut produksi film tapi gagal dll."
"Nada-nada Rindu","Drama",1987,NA,"Colour",122,NA,NA,"Budhi Sutrisno","Muchlis Raya","Muchlis Raya, Rhoma Irama, Ibnu Burdah","Pupung Harris, Camelia Malik, Piet Pagau, Rhoma Irama, Dana Christina","Karena kalah bersaing baik dalam musik maupun pacar, Ramlan (Pupung Harris) menggunakan akal licik. Camelia Malik alias Mia (Camelia Malik) pasangan duetnya, sukses besar dan pacaran dengan Rhoma. Mula-mula Ramlan mengusulkan pada produsernya, Niko (Piet Pagau), untuk menarik Mia dari perusahaan rekaman saingannya. Niko setuju. Maka Ramlan beraksi. Ia menggunakan umpan Maya (Dana Christina), pacarnya yang kecanduan narkotika, untuk merayu Rhoma, dan menaruh obat di minuman Rhoma. Lalu Maya dipotret bersama Rhoma di tempat tidur. Foto disebarkan ke surat kabar, hingga heboh, sementara ia menarik Maya ke perusahaan Niko dan membuat pementasan sendiri."
"Kasmaran","Action, Drama",1987,NA,"Colour",104,NA,8,"Jimmy Jonathan, Arifin Yacob","Slamet Rahardjo Djarot","Slamet Rahardjo Djarot, S Mara Gd","Ida Iasha, Dwi Yan, August Melasz, Ira Wibowo, Rossy S Dradjat","Separuh dari film ini mengisahkan keretakan hubungan suami-istri Ayu (Ida Iasha) dan Sutra (Dwi Yan). Sutra sangat dihantui ketidakperawanan Ayu, bahkan sampai lima tahun usia perkawinannya, meski Ayu sudah berterus terang apa adanya. Akibatnya Sutra sukar berhubungan seks dengan istrinya. Kebetulan diketahui pula Ayu berjumpa dengan teman lamanya, Manaseh (August Melasz)."
"Pernikahan Berdarah","Horor",1987,NA,"Colour",95,NA,2,"Hendrick Gozali","Torro Margens","Torro Margens, Tim Garuda Film","Raja Emma, Dhalia, Yoseph Hungan, Willy Dozan, Abdi Wiyono","Murni (Raja Emma), yatim piatu, dibesarkan oleh Mbok Mirah (Dhalia). Badrowi (Yoseph Hungan) pemuda desa, mengganggu istri orang yang dicintainya, pada malam pengantinnya, dan membunuh suaminya. Ia lalu dikeroyok penduduk desa dan dilempar ke jurang. Di sini ia mendapatkan kesaktian dari laba-laba dan jadi pengganggu desa. Tiga orang meninggal karena ulahnya dengan ciri sama: luka di lehernya, sama seperti luka yang diderita ayah Murni. Yang dituduh pelaku pembunuhan, Rachman (Willy Dozan), santri muda. Untung gurunya berhasil melerai."
"Tirai Perkawinan","Drama",1987,NA,"Colour",91,NA,NA,"Hendrick Gozali, Zainal Nazeri Zainuddin","Abdi Wiyono","Abdi Wiyono, Hendrick Gozali","Eman Manan, Lydia Kandou, Agyl Shahriar, Fauziah A Daud, Rina Hassim","Akbar (Eman Manan) selalu berselisih dengan istrinya, Nora (Lydia Kandou), yang memanjakan anak mereka Andi (Agyl Shahriar). Kehidupan perkawinan mendingin. Nora yang tahu bahwa Akbar masih mencintai pacar pertamanya, berusaha keras menarik hati, antara lain dengan operasi vagina. Untuk mengisi kekosongan, di rumah ia sering nonton video porno, yang sekali waktu dicuri tonton anaknya juga."
"Aku Benci Kamu","Drama",1987,NA,"Colour",91,NA,NA,"Ferry Angriawan","Wim Umboh","Eddy Suhendro","Chatrine, Rina Hassim, Adi Bing Slamet, Paramitha Rusady, Nia Zulkarnaen","Gerda (Chatrine) tiba-tiba membisu karena mengira ibunya (Rina Hassim) pacaran dengan Bobby (Adi Bing Slamet). Gerda pindah ke asrama yang ditempati empat sekawan (Nia Zulkarnaen, Iyut Bing Slamet, Paramitha Rusady, Sylvana Herman). Empat sekawan itu lantas menyelidiki hubungan Bobby dan ibu Gerda. Dan Uun (Paramitha Rusady), salah satu dari empat sekawan, yang mengaku pacar Bobby, untuk memanasi ibu Gerda, malah jatuh cinta betulan. Ternyata Bobby adalah saudara Gerda sendiri."
"Ketika Cinta Telah Berdusta","Drama",1987,NA,"Colour",76,NA,NA,"Tien Ali","Susilo SWD","Teguh Waluyo SWD, Kris Maliki, Tua Raja Siahaan","Jeffry Sani, Angel D Memah, Johan Saimima, Ida Leoretta, Mila Karmila, Sherly Sarita","Mulyo (Jeffry Sani), pensiunan pegawai negeri kecil, bekerja di sebuah bengkel las untuk membiayai istri dan tiga anaknya. Suatu hari teman pensiunan lain membukakan jalan. Ia bisa diterima jadi agen minuman Coca-Cola. Dan dari sini usahanya sukses, hingga dalam sekejap ia jadi pengusaha besar."
"Lowo Ijo","Action",1987,NA,"Colour",94,NA,1,"Leonita Sutopo","Dasri Yacob","Dasri Yacob","Wenny Rosaline, Yurine, Yan Bastian, Robin Karim, Tanaka","Sekarsari (Wenny Rosaline) dan Mayang (Yurine) diberi tahu gurunya (Atin Martino), bahwa mereka bukan anak kandungnya. Orang tuanya dibunuh oleh Gobang alias Lowo Ijo (Yan Bastian), yang dikenal sebagai tukang perkosa wanita. Karena ilmunya dianggap sudah cukup, mereka disuruh turun gunung untuk balas dendam, tapi lupa diberi tahu jimat kesaktian musuhnya itu."
"Perempuan Malam","Mistic",1987,NA,"Colour",86,NA,NA,"Ferry Angriawan","Atok Suharto","Satmowi Atmowiloto, Tim Virgo Putra Film","Siska Widowati, George Rudy, Wieke Widowati, Harry Capri, Rukman Herman","Kisah seorang wanita yang hamil tapi pacarnya tak mau tanggung jawab, hingga dia putus asa, naik mobil kencang, kecelakaan, dan meninggal. Arwahnya ternyata masih gentayangan dan jadi kuntilanak, yang lalu ingin balas dendam pada pacarnya dengan menerornya lebih dulu baru membunuhnya. Sang arwah kemudian minta kepalanya ditusuk paku agar tidak gentayangan lagi."
"Luka di Atas Luka","Drama",1987,NA,"Colour",101,NA,5,"Anton Indracaya","Buce Malawau","Buce Malawau, Makmur Hendrik","Ray Sahetapy, Ariessa Suryo, Yatti Surachman, Ayu Azhari, Tanty Josepha","Suami-istri Teddy-Ratih (Ray Sahetapy-Ariessa Suryo) semula pasangan bahagia. Pasangan itu mulai retak dengan adanya anak hasil perkawinan Teddy dengan Nila (Yatti Surachman) yang tinggal di rumah itu, beruntun dengan hamilnya gadis lain oleh Teddy. Teddy kemudian terbunuh oleh Nila saat terjadi pertengkaran. Tapi, Ratih yang diajukan sebagai terdakwa. Sedang Nila yang jadi saksi kemudian mengaku membunuh. Nila maupun Ratih dibebaskan. Sebuah kisah sederhana yang cenderung ""diberat-beratkan""."
"Penginapan Bu Broto","Drama",1987,NA,"Colour",114,NA,NA,"TK Gunawan Prihatna","Wahyu Sihombing","Tatiek Maliyati WS","Ida Leman, August Melasz, Zainal Abidin, Chintami Atmanegara, Mathias Muchus","Mbak Pur (Ida Leman), perawan tua, didesak-desak kawin oleh orang tuanya. Muncul Darmanto (August Melasz) yang mencoba mendekatinya, tapi Mbak Pur menolak. Ia tahu Darmanto itu lelaki brengsek. Nugroho (Zainal Abidin), duda dari Jakarta, bersama anak gadisnya (Chintami Atmanegara) ganti hadir dalam penginapan Bu Broto itu. Nugroho mencoba merayu Mbak Pur, sementara Tarjo (Mathias Muchus) mencoba mendekati anak gadis Nugroho. Suasana dan penggarapan film ini sangat mirip dengan drama seri ""Losmen"" di televisi."
"Pelet","Mistic",1987,NA,"Colour",93,NA,2,"Lucy Sukardi","Imam Tantowi","Imam Tantowi","Diah Puri Handayani, Husein Asgar, Hengky Tornando, Rani Soraya, Robby Sorongan","Saat Saraswati (Diah Puri Handayani) dan Pandu (Husein Asgar) nikah, datang Sam (Hengky Tornando), yang ditolak cintanya oleh Saraswati. Kekhawatiran Saraswati terbukti. Pandu mengalami kecelakaan. Kakinya patah dan wajahnya luka. Dengan bantuan dukun, Sam berhasil menjinakkan Saraswati. Utari (Rani Soraya), pacar Sam, marah. Dia mencari dukun juga untuk mencelakakan Saraswati, hingga wajahnya rusak. Saraswati kemudian disembuhkan oleh seorang kyai, sementara Sam dibunuh komplotan Utari. Pihak berwajib menyelesaikan masalah ini."
"Bilur-bilur Penyesalan","Drama",1987,NA,"Colour",96,NA,4,"Handi Muljono","Nasri Cheppy","Nasri Cheppy, Mira W","Deddy Mizwar, Sophia Latjuba, Henky Solaiman, Rano Karno, Tio Pakusadewo, Lucy Parnita","Kisah ini terentang sepanjang 21 tahun. Dan dalam waktu yang sekian panjang itu, peristiwa-peristiwa yang fantastis terjadi."
"Mekar Diguncang Prahara","Drama",1987,NA,"Colour",86,NA,NA,"Handi Muljono","Hasmanan","Hasmanan, Nina Pane","Ray Sahetapy, Ida Iasha, Nani Widjaja, Deddy Mizwar, Putri Soraya","Daniel (Ray Sahetapy), anak mami yang rusak karena terlampau dimanja, bahkan sampai dia beristri dan punya anak dua. Kerjanya hanya berjudi dan main perempuan. Istrinya, Dinar (Ida Iasha), pelayan toko diharapkan bisa mendewasakan Daniel. Ia gagal, lebih-lebih karena intervensi mertuanya (Nani Widjaja). Akhirnya Dinar memutuskan pindah rumah bersama dua anaknya dan bekerja. Daniel tetap tinggal bersama ibunya."
"Akibat Kanker Payudara","Drama",1987,NA,"Colour",94,NA,NA,"Jiwat KK","Frank Rorimpandey","Frank Rorimpandey, Abdullah Harahap","Chintami Atmanegara, Cok Simbara, Marini, Galeb Husein, Rina Hassim","Film diawali dengan tampilnya seorang dokter menjelaskan mengenai kanker payudara dan cara-cara pengecekannya sambil diperagakan oleh seorang gadis. Kartika (Chintami Atmanegara) harus dipotong salah satu payudaranya karena terkena kanker dan untuk menghilangkan penderitaannya ia pergi ke Swiss. Di sini jumpa dengan Dokter Maruli (Cok Simbara) yang baru lulus dari Jerman dan cari tambahan uang dengan bekerja di sebuah restoran sebelum pulang. Terjadi percintaan sampai ke pernikahan, meski pamannya yang membiayai tak setuju. Alasannya dia memegang teguh adat. Ini yang membuat sang paman bentrok dengan ibunya."
"Kelabang Seribu","Action",1987,NA,"Colour",91,NA,8,"Handi Muljono","Imam Tantowi","Hasmi, Imam Tantowi, Teddy Purba","Barry Prima, Doddy Sukma, Sutrisno Wijaya, Advent Bangun, Nurul Arifin, Wenny Rosaline, Baron Hermanto, Anneke Putri","Sebuah kisah intrik di zaman ""dulu"", dicampur dengan laga plus tenaga gaib. Singa Lawe (Barry Prima) kembali ke desanya dan melihat desanya porak-poranda, hingga ia ingat akan pembunuh orang tuanya. Penduduk takut menerimanya, tapi toh Akuwu (bupati) Ariamanik (Doddy Sukma) menerimanya, melawan aturan dari pasukan kota raja yang menguasai tempat itu dipimpin Boma (Sutrisno Wijaya) dan anaknya, Banaspati (Advent Bangun), melarang."
"Mandala dari Sungai Ular","Action",1987,NA,"Colour",81,NA,4,"Handi Muljono","Ackyl Anwari","Imam Tantowi, Man","Barry Prima, Syaiful Nazar, Syamsuri Kaempuan, Angel D Memah, Etty Nurbaety, Muni Cader","Dalam pengembaraannya Mandala (Barry Prima) sampai di suatu desa yang sedang diacak-acak tiga serangkai Kepala Besi. Mereka mencari Laot (Syaiful Nazar) yang menyelamatkan buku warisan gurunya, Ki Banta (Syamsuri Kaempuan) yang dicari-cari tiga Kepala Besi. Bersamaan dengan itu Mandala juga membasmi perampok desa dan melihat Kupra (Syaiful Nazar), yang akan digantung, karena dianggap perampok. Kupra diselamatkan Mandala, tapi lalu mereka berpisah."
"Malaikat Bayangan","Action",1987,NA,"Colour",80,NA,5,"Handi Muljono","Tommy Burnama","Imam Tantowi, Djair","Johan Moosdijk, Tanty Aditianti, Barry Prima, HIM Damsjik, Sutrisno Wijaya","Jansen (Johan Moosdijk), tuan tanah Belanda menetap di Jawa bersama putrinya, Lorena (Tanty Aditianti). Sementara itu perampokan dan perampasan tanah terjadi atas nama Jansen. Kelompok Malaikat Bayangan mencurigai Jansen. Salah satu anggotanya, Thomas (Barry Prima), disuruh menyelidiki. Setelah berbagai peristiwa dan banyak perkelahian, ketahuanlah bahwa dalang dari semuanya adalah Burisrawa (HIM Damsjik), yang memperalat Iblis Merah (Sutrisno Wijaya), yang ingin menyingkirkan semua pendekar. Duel terakhir dengan Iblis Merah dimenangkan Thomas."
"Siluman Srigala Putih","Action",1987,NA,"Colour",82,NA,3,"Handi Muljono","Imam Tantowi","Imam Tantowi, Ganes TH","Atut Agustinanto, Advent Bangun, Barry Prima, Okky Olivia, Muni Cader","Jari Getih (Atut Agustinanto), perampok, mencari sasaran di desa tempat Srigala Putih (Advent Bangun) merajalela. Di desa itu kebetulan datang Pengembara (Barry Prima), yang keluarganya dihabisi Jari Getih. Jari Getih yang menyamar sebagai pedagang, menghasut rakyat untuk melawan Srigala Putih. Pengembara ikut terbujuk karena tawaran uang banyak. Ia berhasil membunuh Srigala Putih, namun tak dipercaya, karena tak ada bukti, bahkan pemilik warung yang membantu Pengembara di desa itu terbunuh dengan ciri seperti yang dilakukan Srigala Putih. Tangannya dikutungi. Sementara itu, Pengembara membantu gadis, anak pemilik warung, yang hampir tenggelam. Gadis ini mengenali si pedagang sebagai Jari Getih. Maka Pengembara bertindak sesuai dengan dendamnya. Setelah selesai, ia melanjutkan perjalanan. Kali ini bersama gadis anak pemilik warung itu."
"Pendekar Bukit Tengkorak","Action",1987,NA,"Colour",79,NA,4,"Handi Muljono","Pitrajaya Burnama","Pitrajaya Burnama","Barry Prima, Advent Bangun, Krissno Bossa, Wenny Rosaline, Enny Cherlis","Ario Petak (Barry Prima) menuntut balas pada Bargo Wirogo, tuan tanah pemeras rakyat dan pembunuh orang tuanya. Setelah selesai berguru, Ario turun gunung dan anak buah Karto Wiyogo tak ada yang menang. Sikap Ario tak ada ampun. Dan setelah membunuh ia selalu meninggalkan tanda milik pacarnya, Melati Merah. Gadis adik seperguruan ini memang seperti yang diharap Ario, selalu mencarinya, tapi selalu terlambat."
"Catatan Si Boy","Young adult",1987,NA,"Colour",92,NA,7,"Sudwikatmono, R Soenarso, Sudarko","Nasri Cheppy","Marwan Alkatiri","Onky Alexander, Ayu Azhari, Meriam Bellina, Btari Karlinda, Dede Yusuf","Si Boy (Onky Alexander) adalah pemuda ganteng yang suka menulis buku harian, senang olahraga (lari dan tinju), aktif di kampus, tidak pernah lupa sembahyang, anak pengusaha kaya, ke mana-mana naik BMW. Pokoknya sosok ideal. Tidak heran bila banyak cewek yang naksir. Pacarnya, Nuke (Ayu Azhari) diungsikan ayahnya belajar ke London, karena sebagai pegawai negeri ia tersinggung akan ulah ayah Boy yang berusaha menyuap. Kepergian Nuke yang tiba-tiba membuat Boy pertama dekat dengan seorang pelacur, dan kemudian dengan Vera (Meriam Bellina). Hubungan dengan Vera diwarnai percekcokan terus, termasuk risiko berkelahi dengan bekas pacar Vera. Maka akhirnya Boy memutuskan hubungannya dengan Vera. Kebetulan Nuke pulang berlibur. Ia mengajak melanjutkan hubungan secara diam-diam."
"Cintaku di Rumah Susun","Comedy",1987,NA,"Colour",101,NA,6.5,"Dhamoo, Gobind, Raam Punjabi","Nya Abbas Akup","Nya Abbas Akup","Deddy Mizwar, Doyok Sudarmadji, Eva Arnaz, Galeb Husein, Asmuni, Rima Melati, Meta Armys, Kadir","Sebuah sketsa karikatural tentang kehidupan di rumah susun sederhana yang penghuninya beraneka ragam. Salah satunya Somad (Deddy Mizwar), pegawai pabrik bir yang sudah cukup umur, tapi dilarang pacaran oleh kakeknya, sementara Badrun (Doyok Sudarmadji) mengajari bagaimana supaya cepat dapat istri. Meski sudah diajari, Somad sering gagal. Padahal Zuleha (Eva Arnaz), tetangga lain di rumah susun itu, mencoba mengganggu, cuma dia adalah simpanan seorang bandit, Gandun (Galeb Husein). Begitu juga gadis nakal lain yang sering memasukkan lelaki ke rumahnya. Lalu diperlihatkan juga ketua RT yang genit, Asmuni (Asmuni). Ada janda Mastun (Rima Melati), yang menunggak sewa rumah terus-terusan."
"Cewek-cewek Genit","Action, Drama",1987,NA,"Colour",86,NA,NA,"Sudjana Budiana","Atok Suharto","BZ Kadaryono","Angel D Memah, George Rudy, Jaja Mihardja, Nenden Olla, Ade Rosanti","Minah (Angel D. Memah) datang ke kota untuk mencari pamannya, tapi jatuh ke tangan sindikat narkotika. Ia ditugaskan menjual kue dengan baskom di pinggir jalan (ada saat gadis penjual kue ini populer di Jakarta, karena jualan itu hanya kedok pelacuran atau sekadar bercanda genit). Tugas Minah tadi untuk menutupi maksud sindikat yang sebenarnya. Tanpa disangka Minah berjumpa dengan Aryo (George Rudy) anak pamannya, yang sudah jadi polisi. Minah pacaran dengan Aryo. Dengan bantuan penyanyi dangdut (Jaja Mihardja), Aryo berhasil membebaskan Minah dan membongkar jaringan sindikat."
"Makin Lama Makin Asyik","Comedy",1987,NA,"Colour",106,NA,NA,"Ram Soraya","A Rachman","A Rachman, Tim Soraya Film","Dono, Kasino, Indro, Susy Bolle, Meriam Bellina","Dono, Kasino, Indro tinggal di sebuah rumah kos. Kelucuan mulai dari pemilik flat, Tante Sarah (Susy Bolle), yang sedang pacaran. Dono memasang mikrofon, hingga suara pacaran itu terdengar ke seluruh kamar. Maka perseteruan tante Sarah dan tiga sekawan terjadi. Lalu datang Erna (Meriam Bellina), keponakan Tante Sarah. Tiga sekawan tadi lalu berlomba menarik hati Erna. Suatu saat tiga sekawan diajak Erna ke klab malam. Di situ jumpa dengan Tante Sarah. Tiga sekawan terpaksa menyamar jadi wanita."
"Birahi dalam Kehidupan","Drama",1987,NA,"Colour",92,NA,NA,"Gope T Samtani","Maman Firmansjah","Deddy Armand","Rani Soraya, Robin Panjaitan, Harry Capri","Film yang sarat dengan penerangan keluarga berencana ini berawal dari Paula (Rani Soraya) yang berhasil mengatasi gejolak biologis remajanya. Lantas muncul Gatot (Robin Panjaitan) yang memacari teman sekolah Paula. Hubungan terakhir ini kelewat batas dan terjadi pengguguran kandungan, karena Gatot tewas dalam kecelakaan. Teman Paula juga meninggal. Di tengah cerita ini digelar pelajaran tentang bahaya sakit kelamin, operasi caesar, dll."
"Singa Betina","Action",1987,NA,"Colour",85,NA,NA,"Tien Ali","Wisjnu Mouradhy","Wisjnu Mouradhy","Sherly Sarita, Dolf Damora, Emma Maria, Yana Diana, Johan Saimima","Maini (Sherly Sarita) datang di sebuah pelabuhan untuk mencari kakaknya. Maini yang pandai bela diri ini mula-mula dijajal jago-jago pelabuhan. Lalu dia ketemu dengan seorang wanita kawan kakaknya. Dari wanita itulah diketahui dimana kakak yang dicari Maini. Ia disekap gerombolan penjahat dan sebelum bisa dibebaskan, dibunuh. Maini marah dan mengobrak-abrik komplotan penjahat."
"Johny Indo (Kisah Nyata Seorang Narapidana)","Action, Drama",1987,NA,"Colour",127,NA,5,"TK Gunawan Prihatna","Jimmy Atmaja","Frank Rorimpandey, Jimmy Atmaja","Johny Indo, Mathias Muchus, Minati Atmanegara, Yunus Takara, Sigit Tayu","Johny Indo (Johny Indo) adalah perampok terkenal. Ia tertangkap dan dipenjarakan di Nusa Kambangan. Bersama Johny, ikut dipenjarakan pula Pardi (Mathias Muchus). Selang beberapa waktu 34 napi itu, termasuk Johny, bermaksud melarikan diri. Pelarian mereka melewati hutan lebat serta hambatan alam sukar lainnya. Pihak berwajib memburu-buru mereka. Korban tak terelakkan. Johny tertembak kakinya. Saat hendak lari lagi, wajah istri dan anaknya terbayang, maka Johny menyerah."
"Panah dan Jantung","Drama",1987,NA,"Colour",102,NA,NA,"Leonita Sutopo","Dasri Yacob","Dasri Yacob","Tonny Hidayat, Suryana Zein, Reppy Rompies, Essie Lousiana, Ruslan Basrie","Remo (Tonny Hidayat), pemuda Bukittinggi yang kuliah di Jakarta, tertarik pada Wini (Suryana Zein) yang mengidap penyakit jantung. Orang tuanya yang tak setuju mengirim surat agar cepat pulang karena ibunya sakit. Ia tertipu, karena ibunya ternyata sehat. Yang merencanakan permainan ini adalah teman kosnya, Yudi (Reppy Rompies). Surat dari Wini diblokir oleh ibu Remo, sementara surat Remo disabot oleh Yudi. Karena putus asa, Wini meninggal. Waktu Remo KKN di Jawa Tengah, ia jumpa dan jadi intim dengan Lolita (Suryana Zein), karena mirip sekali dengan Wini. Ternyata Lolita ini saudara kembar Wini. Maka setelah melalui beberapa hambatan, Remo dan Lolita hidup bahagia."
"Misteri Rumah Tua","Mistic",1987,NA,"Colour",95,NA,10,"Chandir Bhagwandas","Lilik Sudjio","Anton Erlangga","Rani Soraya, Noor Komalasari, Tonny Hidayat, WD Mochtar, Bram Adrianto","Enam remaja secara kebetulan memberi jalan pada hantu penasaran untuk membalas dendam. Kebetulan juga ayah seorang dari mereka, Susi (Rani Soraya) bertanggung jawab atas pemerkosaan dan pembunuhan keluarga sang hantu. Maka membalaslah dia. Belakangan hantu yang baik hati itu, berjanji tak akan melanjutkan pembalasan asal arwahnya disempurnakan. Sang hantu (Noor Komalasari) terpaksa jadi arwah penasaran karena anak yang dikandungnya membuatnya tak mungkin mati sempurna. Maka dikeluarkanlah sang jabang bayi dari mulut hantu."
"Peluru dan Wanita","Action",1987,NA,"Colour",93,NA,NA,"Raam Punjabi, Lloyd Kaufman","Charles Kaufman, Eddy G Bakker","Deddy Armand, Charles Kaufman","Christopher Noth, Sue Francis Pay, Frans Tumbuan, Zoraya Perucha, A Khalik Noor Nasution","Falco (Christopher Noth), pria berkebangsaan Amerika, telah meninggalkan dinasnya di CIA. Ia punya kenangan manis dan rasa bersalah terhadap Asha (Sue Francis Pay), gadis Indonesia yang dikenalnya dalam kaitan tugasnya bekerja sama dengan kepolisian Indonesia. Falco tergiring ke Jakarta kembali dibayangi pertanyaan tentang nasib Asha. Dibantu polisi Indonesia, Jack (Frans Tumbuan), Falco memerangi sindikat narkotika internasional yang membuka jaringan di Jakarta, yang ternyata didalangi Asha."
"Sama-sama Enak","Comedy",1987,NA,"Colour",84,NA,10,"Hasrat Djoeir","Arizal","Arizal","Krishna Purwana, Mukhlis Gumilang, Ferrasta, Rachman, Chintami Atmanegara","Krishna dan kelompoknya Sersan Prambors dan adiknya Yanti (Chintami Atmanegara) disuruh pulang kampung untuk membereskan ulah seseorang yang menyerobot tanah penduduk untuk lapangan golf. Disuguhkan secara banyolan, mereka berhasil menumpas kejahatan itu."
"Samson dan Delilah","Action",1987,NA,"Colour",93,NA,NA,"Ram Soraya","Sisworo Gautama Putra","Naryono Prayitno, Tim Soraya Film","Paul Hay, Suzanna, Eddy Gunawan, Melisa Husein, Corbi","Cerita film dipermak dari kisah Samson dan Delilah yang terkenal. Paiman (Paul Hay), adalah anak hasil perkosaan penjajah Belanda terhadap ibunya yang Jawa. Kulitnya putih dan rambutnya pirang. Ia juga pejuang tak terkalahkan, yang berhasil ditangkap berkat tipu muslihat Delilah (Suzanna), anak residen penjajah di suatu daerah di Jawa Tengah. Menjelang hukum gantung dilaksanakan, Delilah berbalik jatuh hati pada Paiman yang dipanggilnya dengan nama Samson. Dengan kesaktian yang telah terpulihkan, Samson meruntuhkan gedung pertemuan yang menewaskan semua penjajah, kecuali Delilah."
