"year","manufacturer","type","gearshift","fuel","distance","city","price"
2017,"Honda","Motorcycles Cbr 250R","Manual","Bensin",1,"Indonesia",52
2014,"Yamaha","V-Ixion","Manual","Bensin",1,"Indonesia",15.5
2015,"Honda","Motorcycles Scoopy","Otomatis","Bensin",1,"Indonesia",13.5
2016,"Kawasaki","Ninja 250","Manual","Bensin",1,"Indonesia",41.5
2018,"Honda","Motorcycles Pcx","Otomatis","Bensin",1,"Indonesia",26.5
2015,"Honda","Motorcycles Vario Techno 150","Otomatis","Bensin",1,"Indonesia",16.5
2019,"Yamaha","Lexi","Otomatis","Bensin",1,"Indonesia",19.5
2016,"Yamaha","Nmax","Otomatis","Bensin",1,"Indonesia",22.3
2018,"Yamaha","Aerox","Otomatis","Bensin",1,"Indonesia",18.9
2009,"Suzuki","Skydrive","Otomatis","Bensin",1,"Indonesia",4.5
2013,"Suzuki","Hayate","Otomatis","Bensin",1,"Indonesia",7.5
2015,"Honda","Motorcycles Scoopy Fi","Otomatis","Bensin",1,"Indonesia",12.45
2016,"Piaggio","Sprint","Otomatis","Bensin",1,"Indonesia",38.65
2015,"Yamaha","V-ixion New Advance","Manual","Bensin",43000,"Indonesia",14
2019,"Honda","Motorcycles Vario Techno 150","Otomatis","Bensin",1,"Indonesia",18
2019,"Honda","Motorcycles Beat Esp","Otomatis","Bensin",1,"Indonesia",13
2018,"Honda","Motorcycles Beat Esp","Otomatis","Bensin",1,"Indonesia",13.5
2018,"Honda","Motorcycles Beat Esp","Otomatis","Bensin",1,"Indonesia",13
2019,"Honda","Motorcycles Beat Street","Otomatis","Bensin",1,"Indonesia",14
2013,"Honda","Motorcycles Cb 150R","Manual","Bensin",1,"Indonesia",10.5
2018,"Honda","Motorcycles Beat Esp","Otomatis","Bensin",1,"Indonesia",10.5
2012,"Honda","Motorcycles Vario Absolute","Otomatis","Bensin",1,"Indonesia",8.1
2018,"Honda","Motorcycles Beat Esp","Otomatis","Bensin",1,"Indonesia",11.5
2018,"Honda","Motorcycles Beat Esp","Otomatis","Bensin",1,"Indonesia",12.7
2016,"Yamaha","Nmax","Otomatis","Bensin",1,"Indonesia",20
2015,"Yamaha","Mio","Otomatis","Bensin",32000,"Kota Jakarta Timur",8
2018,"Kawasaki","W 175 SE","Manual","Bensin",7300,"Indonesia",26
2018,"Cleveland","CycleWerks THA HEIST","Manual","Bensin",1000,"Tangerang",55
2004,"Yamaha","RX135","Manual","Bensin",165030,"Madiun",24.5
2013,"Honda","Motorcycles Revo","Manual","Bensin",30000,"Bandung",6
2011,"Yamaha","V-ixion","Manual","Bensin",65812,"Indonesia",8
2016,"Yamaha","YZF R1M","Otomatis","Bensin",2900,"Tangerang",785
2004,"Harley-Davidson","Ultra Classic","Manual","Bensin",40000,"Indonesia",330
2015,"Honda","Motorcycles Beat","Otomatis","Bensin",7612,"Indonesia",5.7
1995,"Harley-Davidson","Street fatboy","Manual","Bensin",30000,"Kota Jakarta Pusat",175
2015,"Honda","Motorcycles Vario All New Tec...","Otomatis","Bensin",20018,"Jakarta Timur",13.5
2015,"Honda","Motorcycles Revo CW","Manual","Bensin",23000,"Tangerang",8
2016,"Honda","Motorcycles Sonic Sport","Manual","Bensin",20000,"Indonesia",14
2013,"Honda","Motorcycles CB150R","Manual","Bensin",72000,"Indonesia",11
2018,"Yamaha","NMax","Otomatis","Bensin",2400,"Malang",26
2016,"Honda","Motorcycles CB","Manual","Bensin",40000,"Indonesia",14
2012,"Yamaha","Scorpio","Manual","Bensin",1e+05,"Jalan Haji Adam Malik",19.5
2014,"Honda","Motorcycles CBR 150 R","Manual","Bensin",40000,"Depok",15
2016,"Yamaha","YZF R15","Manual","Bensin",10579,"Tangerang",18
2017,"Kawasaki","Ninja 250 Fi ABS","Manual","Bensin",7015,"Indonesia",50
2018,"Honda","Motorcycles PCX cbs","Otomatis","Bensin",9000,"Bandung",28
2013,"Honda","Motorcycles Cb 150","Manual","Bensin",1,"Indonesia",12.5
2016,"Honda","Motorcycles Scoopy Esp","Otomatis","Bensin",1,"Indonesia",15
2014,"Honda","Motorcycles Scoopy Esp","Otomatis","Bensin",1,"Indonesia",12
2018,"Honda","Motorcycles Scoopy Esp","Otomatis","Bensin",1,"Indonesia",18.5
2011,"Honda","Motorcycles Beat","Otomatis","Bensin",1,"Indonesia",7.5
2017,"Honda","Motorcycles Scoopy Esp","Otomatis","Bensin",1,"Indonesia",17.5
2006,"Yamaha","Jupiter","Manual","Bensin",1,"Indonesia",6.75
2018,"Honda","Motorcycles Supra Gtr","Manual","Bensin",1,"Indonesia",17
2019,"Honda","Motorcycles Scoopy Esp","Otomatis","Bensin",1,"Indonesia",19
2016,"Yamaha","Mx King","Manual","Bensin",1,"Indonesia",15.5
2013,"Honda","Motorcycles Scoopy Fi","Otomatis","Bensin",1,"Indonesia",11
2015,"Honda","Motorcycles Vario Techno 150","Otomatis","Bensin",1,"Indonesia",15
2017,"Honda","Motorcycles Scoopy Esp","Otomatis","Bensin",1,"Indonesia",16
2019,"Honda","Motorcycles Beat Esp","Otomatis","Bensin",1,"Indonesia",16
2014,"Yamaha","Mio Gt","Manual","Bensin",1,"Indonesia",9
2009,"Kawasaki","Ninja 250R","Manual","Bensin",35000,"Indonesia",30
2017,"Yamaha","NMax","Otomatis","Bensin",45000,"Kota Tgr. Sel.",20.75
2011,"Piaggio","Vespa","Otomatis","Bensin",22000,"Indonesia",35
2018,"Yamaha","NMax","Manual","Bensin",8094,"Medan",26.6
2018,"Yamaha","Lexi S","Otomatis","Bensin",7700,"Bekasi",17.5
2013,"Kawasaki","Ninja 250R Fi","Manual","Bensin",12000,"Indonesia",41.5
2013,"Honda","Motorcycles CB 150R","Manual","Bensin",18000,"Kota Jakarta Barat",10.3
2016,"Yamaha","NMax","Otomatis","Bensin",20000,"Indonesia",19.75
2017,"Yamaha","N-Max","Otomatis","Bensin",39000,"Indonesia",20.9
1976,"Piaggio","Sprint","Manual","Bensin",2000,"Gianyar",9
2018,"Yamaha","Mio S","Otomatis","Bensin",4000,"Kota Jakarta Timur",10.5
2012,"Yamaha","Byson Karburator","Manual","Bensin",345,"Indonesia",17
2010,"Suzuki","Skywave","Otomatis","Bensin",50000,"Jakarta Selatan",7
2009,"Honda","Motorcycles Vario techno","Otomatis","Bensin",89000,"Indonesia",7.12
1976,"Piaggio","Sprint Bagol","Manual","Bensin",1e+05,"Indonesia",21.5
2010,"Yamaha","Vega ZR","Manual","Bensin",80000,"Indonesia",3.6
2014,"Kawasaki","Ninja 150RR","Manual","Bensin",22000,"Kota Jakarta Timur",25.5
2016,"Honda","Motorcycles CBR All New 150R","Manual","Bensin",27000,"Indonesia",19.5
2017,"Honda","Motorcycles Scoopy","Otomatis","Bensin",13000,"Serang",13.95
2005,"Suzuki","Satria hiu","Manual","Bensin",50000,"Jl. Sultan Iskandar Muda",15
2011,"Harley-Davidson","Ultra","Manual","Bensin",18711,"Bekasi",465
2016,"Kawasaki","KLX BF","Manual","Bensin",20000,"Indonesia",22
2009,"Honda","Motorcycles Blade 110 repsol","Manual","Bensin",64000,"Indonesia",5.1
2018,"Yamaha","X-MAX","Otomatis","Bensin",3128,"Indonesia",50
2018,"Yamaha","MT-25","Manual","Bensin",2200,"Jakarta Timur",45
2011,"Piaggio","Liberty S 100","Otomatis","Bensin",40000,"Indonesia",12.5
2012,"Kawasaki","Versys","Manual","Bensin",29520,"Indonesia",100
2017,"Yamaha","NMax Abs","Otomatis","Bensin",11900,"Indonesia",21.5
2017,"Kawasaki","KLX 150","Manual","Bensin",14000,"Indonesia",20
2012,"Kawasaki","Ninja","Manual","Bensin",19000,"Kabupaten Sleman",47
2018,"Kawasaki","D-Tracker 150","Manual","Bensin",7534,"Indonesia",28
2016,"Yamaha","YZF R15","Manual","Bensin",32400,"Indonesia",18
2014,"Yamaha","Byson","Manual","Bensin",39000,"Indonesia",12
2016,"Honda","Motorcycles CBR All New 150R","Manual","Bensin",10000,"Indonesia",20.5
2019,"Honda","Motorcycles PCX All New 150 Fi","Otomatis","Bensin",4936,"Indonesia",29.5
2017,"Yamaha","YZF R15","Manual","Bensin",14000,"Indonesia",21
1996,"Suzuki","GSX","Manual","Bensin",35000,"Sukabumi",50
2014,"Kawasaki","Ninja","Manual","Bensin",120,"Indonesia",38
2016,"Honda","Motorcycles Vario","Otomatis","Bensin",19972,"Cimenyan",16.2
2008,"Harley-Davidson","Street SG","Manual","Bensin",17000,"Bogor",245
2006,"Yamaha","Mio sporty carbu","Otomatis","Bensin",25000,"Indonesia",4.8
2018,"Suzuki","GSX-R","Manual","Bensin",22000,"Indonesia",18
2005,"Yamaha","Mio","Otomatis","Bensin",8000,"Indonesia",4.65
2016,"Yamaha","Nmax","Otomatis","Bensin",1,"Indonesia",21.3
2017,"Yamaha","Aerox","Otomatis","Bensin",1,"Indonesia",18
2018,"Yamaha","Nmax Abs","Otomatis","Bensin",1,"Indonesia",25.85
2010,"Yamaha","V-Ixion","Manual","Bensin",1,"Indonesia",9.2
2018,"Yamaha","Lexi","Otomatis","Bensin",1,"Indonesia",16.85
2015,"Honda","Motorcycles Vario Techno 150","Otomatis","Bensin",1,"Indonesia",14.9
2016,"Honda","Motorcycles Cb 150R","Manual","Bensin",1,"Indonesia",18.8
2010,"Yamaha","Scorpio Z","Manual","Bensin",1,"Indonesia",16.5
2017,"Honda","Motorcycles Vario Techno 150","Otomatis","Bensin",1,"Indonesia",17.8
2014,"Honda","Motorcycles Beat Fi","Otomatis","Bensin",1,"Indonesia",8.85
2012,"Honda","Motorcycles Beat Fi","Otomatis","Bensin",1,"Indonesia",8
2018,"Honda","Motorcycles Vario Techno Fi","Otomatis","Bensin",1,"Indonesia",16.4
2015,"Honda","Motorcycles Vario Techno Fi","Otomatis","Bensin",1,"Indonesia",12
2017,"Honda","Motorcycles Sonic R","Otomatis","Bensin",1,"Indonesia",17
2018,"Yamaha","Vega Force","Manual","Bensin",1,"Indonesia",10.9
2017,"Honda","Motorcycles Scoopy Fi","Otomatis","Bensin",1,"Indonesia",17.5
2010,"Yamaha","Jupiter Z","Manual","Bensin",1,"Indonesia",5.9
2011,"Honda","Motorcycles Spacy Helm In","Otomatis","Bensin",1,"Indonesia",7
2014,"Yamaha","V-Ixion Lightning","Manual","Bensin",1,"Indonesia",14.75
2008,"Kawasaki","Ninja 250","Manual","Bensin",1,"Indonesia",42
2017,"Honda","Motorcycles Beat Fi","Otomatis","Bensin",1,"Indonesia",13.8
2018,"Honda","Motorcycles Vario 150","Otomatis","Bensin",1,"Indonesia",21
2009,"Yamaha","V-Ixion","Manual","Bensin",1,"Indonesia",11.8
2007,"Suzuki","Spin Cw","Otomatis","Bensin",1,"Indonesia",4.5
2018,"Yamaha","V-Ixion R","Manual","Bensin",1,"Indonesia",20
2011,"Honda","Motorcycles Supra X","Manual","Bensin",1,"Indonesia",10.8
2016,"Honda","Motorcycles Cbr 150R","Manual","Bensin",1,"Indonesia",24.5
2015,"Yamaha","NMax abs","Otomatis","Bensin",8900,"Indonesia",22
2013,"Kawasaki","Ninja sport","Manual","Bensin",55800,"Indonesia",41
2008,"Yamaha","Mio sporty carbu","Otomatis","Bensin",20000,"Indonesia",4.5
2017,"Yamaha","V-Ixion Lightning","Manual","Bensin",1,"Indonesia",18.45
2017,"Honda","Motorcycles Beat Street","Otomatis","Bensin",1,"Indonesia",14.65
2016,"Yamaha","Yzf R15","Manual","Bensin",1,"Indonesia",19.55
2019,"Yamaha","Lexi S","Otomatis","Bensin",1,"Indonesia",17.75
2014,"Honda","Motorcycles Spacy Helm In","Otomatis","Bensin",1,"Indonesia",8.15
