"year","manufacturer","type","gearshift","fuel","distance","city","price"
2014,"MITSUBISHI","OUTLANDER","OTOMATIS","BENSIN",30000,"SURABAYA",2.1e+11
2012,"TOYOTA","YARIS","OTOMATIS","BENSIN",90000,"SURABAYA",1.48e+11
2014,"SUZUKI","ERTIGA","OTOMATIS","BENSIN",74000,"SURABAYA",1.49e+11
2016,"HONDA","JAZZ","MANUAL","BENSIN",29000,"SURABAYA",1.95e+11
2017,"HONDA","BRIO","OTOMATIS","BENSIN",16000,"SURABAYA",1.42e+11
2017,"DAIHATSU","XENIA","MANUAL","BENSIN",40000,"SURABAYA",1.45e+11
2015,"HONDA","MOBILIO","MANUAL","BENSIN",60000,"SURABAYA",1.5e+11
2019,"DAIHATSU","AYLA","MANUAL","BENSIN",700,"MALANG",1.25e+11
2018,"HONDA","MOBILIO","OTOMATIS","BENSIN",10000,"MALANG",1.95e+11
2017,"DAIHATSU","AYLA","OTOMATIS","BENSIN",17000,"MALANG",9e+10
2017,"HONDA","BRIO","MANUAL","BENSIN",20000,"MALANG",1.28e+11
2013,"TOYOTA","KIJANG INNOVA","OTOMATIS","BENSIN",1e+05,"JAKARTA TIMUR",1.55e+11
2019,"TOYOTA","CALYA","OTOMATIS","BENSIN",11500,"BOGOR",1.3e+11
2014,"HONDA","JAZZ","OTOMATIS","BENSIN",63000,"TANGERANG",1.55e+11
2017,"TOYOTA","FORTUNER","OTOMATIS","SOLAR",40804,"JAKARTA UTARA",4.1e+11
2014,"DAIHATSU","XENIA","MANUAL","BENSIN",70000,"BOGOR",1.32e+11
2014,"TOYOTA","AGYA","OTOMATIS","BENSIN",50000,"SURABAYA",9.9e+10
2014,"DAIHATSU","XENIA","MANUAL","BENSIN",70000,"BOGOR",1.32e+11
2014,"TOYOTA","AGYA","OTOMATIS","BENSIN",50000,"SURABAYA",9.9e+10
2015,"HONDA","JAZZ","OTOMATIS","BENSIN",47000,"SURABAYA",1.94e+11
2016,"DAIHATSU","AYLA","MANUAL","BENSIN",9000,"TANGERANG",8e+10
2012,"TOYOTA","AVANZA","MANUAL","BENSIN",120000,"SLEMAN",1.2e+11
2012,"TOYOTA","AVANZA","MANUAL","BENSIN",63000,"SLEMAN",1.22e+11
2010,"NISSAN","GRAND","MANUAL","BENSIN",143000,"SLEMAN",8.7e+10
2014,"TOYOTA","KIJANG INNOVA","OTOMATIS","BENSIN",70000,"DEPOK",1.85e+11
2010,"HONDA","JAZZ","OTOMATIS","BENSIN",88000,"BEKASI",1.28e+11
2016,"DAIHATSU","AYLA","OTOMATIS","BENSIN",9000,"JAKARTA UTARA",1.1e+11
2018,"TOYOTA","KIJANG INNOVA","OTOMATIS","SOLAR",11000,"DKI JAKARTA",3.95e+11
2012,"MITSUBISHI","OUTLANDER","OTOMATIS","BENSIN",30000,"SEMARANG",1.75e+11
2013,"HONDA","JAZZ","MANUAL","BENSIN",70000,"SEMARANG",1.59e+11
2011,"MAZDA","SPORT","MANUAL","BENSIN",50000,"SEMARANG",9.75e+10
2011,"MAZDA","SPORT","MANUAL","BENSIN",50000,"SEMARANG",9.75e+10
2013,"NISSAN","GRAND","OTOMATIS","BENSIN",80000,"SEMARANG",1.22e+11
2017,"TOYOTA","CALYA","MANUAL","BENSIN",17000,"SEMARANG",1.175e+11
2011,"TOYOTA","RUSH","OTOMATIS","BENSIN",161000,"SEMARANG",1.29e+11
2013,"SUZUKI","ERTIGA","OTOMATIS","BENSIN",70000,"SEMARANG",1.35e+11
2015,"TOYOTA","KIJANG INNOVA","OTOMATIS","SOLAR",140000,"SEMARANG",2.49e+11
2014,"DAIHATSU","XENIA","MANUAL","BENSIN",88000,"SEMARANG",1.2e+11
2005,"TOYOTA","KIJANG INNOVA","MANUAL","BENSIN",30000,"SEMARANG",1.09e+11
2014,"DAIHATSU","TERIOS","OTOMATIS","BENSIN",102000,"BEKASI",1.34e+11
